Type of materials,Sub_type of materials,Functioal group/drug,Abbreviation,Shape,Agglomeration,Zeta potential,Cell_Type,Stimulant,Cellular uptake,Pro_inflammatoary ,Anti_inflammatoary ,Apoptosis,Organism,Gender,Dose times (Single dose/Multiple dose),Administration route,Injury_Model,Biosafety,Recovery,Reference,Unnamed: 27,Size (nm)_min,Size (nm)_max,NPs_Conc (ug/mL)_min,NPs_Conc (ug/mL)_max,Stimulant_Conc(ug/ml)_min,Stimulant_Conc(ug/ml)_max,Age (Weeks)_min,Age (Weeks)_max,Weight (g)_min,Weight (g)_max,Dose_invivo_ (mg/Kg)_min,Dose_invivo_ (mg/Kg)_max
Inorganic,Zinc Oxide,ZnO,ZnO NPs,Non-Sphere,,Positive,Glial,NPs stimuli,High,High,,High,,,,,Brain Disease,Bad,Bad,Neuroinflammation is induced by tongue-instilled ZnO nanoparticles via the Ca2+-dependent NF-κB and MAPK pathways,10.1186/s12989-018-0274-0,10.0,100.0,10.0,100.0,,,,,,,,
Inorganic,Zinc Oxide,missing,ZnO NPs,Non-Sphere,,Positive,,,,High,,High,Small Rodents,Male,Multiple ,Other,Brain Disease,Bad,,Neuroinflammation is induced by tongue-instilled ZnO nanoparticles via the Ca2+-dependent NF-κB and MAPK pathways,10.1186/s12989-018-0274-0,10.0,100.0,,,,,0.0,5.0,50.0,,10.0,100.0
Hybrid,,,,Sphere,Yes,Negative,Glial,NPs stimuli,High,High,,High,,,,,Brain Disease,Bad,Bad,Silica-coated magnetic nanoparticles activate microglia and induce neurotoxic D-serine secretion,10.1186/s12989-017-0235-3,10.0,100.0,10.0,100.0,,,,,,,,
Hybrid,,,,Sphere,Yes,Negative,,,,High,,,Small Rodents,Male,Single,Intraperitoneal,Brain Disease,Bad,,Silica-coated magnetic nanoparticles activate microglia and induce neurotoxic D-serine secretion,10.1186/s12989-017-0235-3,10.0,100.0,,,,,5.0,10.0,,,10.0,100.0
Inorganic,Titanium Dioxide,,TiO2 NPs,Sphere,,,,,,High,,High,Small Rodents,Both,Multiple ,Oral,Brain Disease,Bad,,Oral administration of TiO2 nanoparticles during early life impacts cardiac and neurobehavioral performance and metabolite profile in an age- and sex-related manner,10.1186/s12989-021-00444-9,10.0,100.0,,,,,0.0,5.0,,,0.1,10.0
Inorganic,Titanium Dioxide,,TiO2 NPs,Sphere,Yes,,Neuronal,Inflammatory stimuli,High,High,,High,,,,,Brain Disease,Bad,Bad,Titanium dioxide and carbon black nanoparticles disrupt neuronal homeostasis via excessive activation of cellular prion protein signaling,10.1186/s12989-022-00490-x,10.0,100.0,10.0,100.0,10.0,100.0,,,,,,
Inorganic,Iron Oxide,,Fe oxide NPs,,,,Missing,,,High,,High,Small Rodents,Both,Multiple ,Other,Brain Disease,Bad,,The potential involvement of inhaled iron (Fe) in the neurotoxic effects of ultrafine particulate matter air pollution exposure on brain development in mice,10.1186/s12989-022-00496-5,10.0,100.0,,,,,0.0,5.0,,,0.1,10.0
Carbon,,,,Sphere,,Negative,Missing,,,High,Low,High,Small Rodents,Male,Single,Intranasal,Brain Disease,Bad,,Carbon quantum dots induce neuroinflammation and metabolic reprogramming in mouse brain revealed by AFADESI-MSI,10.1186/s12989-024-00580-y,,10.0,,,,,5.0,10.0,,,0.1,10.0
Inorganic,Silver,,Ag-NPs,,,,Primary,NPs stimuli,High,High,,High,,,,,Brain Disease,Bad,Bad,Assessing cytotoxicity and endoplasmic reticulum stress in human blood–brain barrier cells due to silver and copper oxide nanoparticles,10.1007/s13353-024-00833-8,10.0,100.0,,,,,,,,,,
Inorganic,Cobalt-Chromium,,CoCr NPs ,,,,,,,High,,,Small Rodents,Female,,,Brain Disease,Bad,,"Nanoparticle exposure during pregnancy causes indirect neurodevelopmental toxicity via placental signalling (Nature Nanotechnology, fetal brain risk via bystander-like effects)",10.1038/s41565-018-0085-3,10.0,100.0,,,,,0.0,5.0,,,0.1,10.0
Inorganic,Silver,,Ag NPs,,,,,,,High,,High,Small Rodents,Male,Multiple ,Intraperitoneal,Brain Disease,Bad,,Size- and Age-Dependent Neurotoxicity of Engineered Metal Nanoparticles in Rats,10.1007/s12035-013-8500-0,10.0,100.0,,,,,10.0,,,,10.0,100.0
Inorganic,Titanium Dioxide,,TiO2 NPs,,Yes,,,,,High,,,Small Rodents,Male,Multiple ,Oral,Brain Disease,Bad,,"Effects of sub-acute exposure to TiO2, ZnO and Al2O3 nanoparticles on oxidative stress and histological changes in mouse liver and brain",10.3109/01480545.2013.866134,10.0,100.0,,,,,0.0,5.0,,,100.0,500.0
Organic,,,,Sphere,,Negative,Other,NPs stimuli,,High,,High,Other Vertebrates,,,,Brain Disease,Bad,Bad,A Multisystemic Approach Revealed Aminated Polystyrene Nanoparticles-Induced Neurotoxicity,10.1002/smll.202302907,10.0,100.0,,,,,,,,,,
Organic,,,,Sphere,,Negative,,,,High,,,Other Vertebrates,Other,Multiple ,Other,Brain Disease,Bad,,A Multisystemic Approach Revealed Aminated Polystyrene Nanoparticles-Induced Neurotoxicity,10.1002/smll.202302907,10.0,100.0,,,,,0.0,5.0,,,,
Inorganic,Cobalt,,Co NPs,Sphere,,,Neuronal,NPs stimuli,High,High,,High,,,,,Brain Disease,Bad,Bad,Cobalt nanoparticles trigger ferroptosis-like cell death (oxytosis) in neuronal cells: Potential implications for neurodegenerative disease,10.1096/fj.201902191RR,10.0,100.0,10.0,100.0,500.0,,,,,,,
Organic,,,,Sphere,,Positive,Neuronal,NPs stimuli,High,High,,High,,,,,Brain Disease,Bad,Bad,Interplay of Oxidative Stress and Autophagy in PAMAM Dendrimers-Induced Neuronal Cell Death,10.7150/thno.13181,,10.0,,,10.0,100.0,,,,,,
Inorganic,Silver,,Ag-NPs,Sphere,,,Primary,NPs stimuli,High,High,,High,,,,,Brain Disease,Bad,Bad,Silver Nanoparticle Induced Blood-Brain Barrier Inflammation and Increased Permeability in Primary Rat Brain Microvessel Endothelial Cells,10.1093/toxsci/kfq244,10.0,100.0,10.0,100.0,,,,,,,,
Inorganic,Titanium Dioxide,FITC,TiO2 NPs,Sphere,,,Primary,NPs stimuli,,,,,Other Vertebrates,Other,Multiple ,Other,Brain Disease,Bad,Bad,Uptake of TiO2 Nanoparticles into C. elegans Neurons Negatively Affects Axonal Growth and Worm Locomotion Behavior,10.1021/acsami.7b18818,10.0,100.0,100.0,500.0,,,,,,,100.0,500.0
Inorganic,Titanium Dioxide,FITC,TiO2 NPs,Sphere,,,,,High,,,,Other Vertebrates,Other,Multiple ,Other,Brain Disease,Bad,,Uptake of TiO2 Nanoparticles into C. elegans Neurons Negatively Affects Axonal Growth and Worm Locomotion Behavior,10.1021/acsami.7b18818,10.0,100.0,,,,,,,,,100.0,500.0
Organic,,,,Non-Sphere,Yes,Negative,,,,High,,,Fish,,,Other,Brain Disease,Bad,,Bioconcentration and metabolism of BDE-209 in the presence of titanium dioxide nanoparticles and impact on the thyroid endocrine system and neuronal development in zebrafish larvae,10.3109/17435390.2013.875232,10.0,100.0,,,,,0.0,5.0,,,0.1,10.0
Inorganic,Titanium Dioxide,,TiO2 NPs,Sphere,,,Glial,NPs stimuli,High,High,,High,,,,,Brain Disease,Bad,Bad,Mitochondrial dysfunction and loss of glutamate uptake in primary astrocytes exposed to titanium dioxide nanoparticles,10.1039/C5NR03646A,,,1.0,100.0,,,,,,,,
Inorganic,Silica Dioxide,,SiO2NP,Sphere,,,Primary,NPs stimuli,High,High,,High,,,,,Brain Disease,Bad,Bad,Activation of the inflammasome by amorphous silica and TiO2 nanoparticles in murine dendritic cells,10.3109/17435390.2010.506957,10.0,100.0,10.0,100.0,,,,,,,,
Inorganic,,,,Sphere,Yes,Negative,,,,High,,,Small Rodents,Male,Multiple ,Intranasal,Brain Disease,Bad,,Neurotoxicity of Silica Nanoparticles: Brain Localization and Dopaminergic Neurons Damage Pathways,10.1021/nn103530b,100.0,200.0,,,,,0.0,5.0,50.0,,10.0,100.0
Inorganic,,,,Sphere,Yes,Negative,Neuronal,Growth/DF,,,,High,,,,,Brain Disease,Bad,Bad,Neurotoxicity of Silica Nanoparticles: Brain Localization and Dopaminergic Neurons Damage Pathways,10.1021/nn103530b,100.0,200.0,100.0,500.0,10.0,100.0,,,,,,
Inorganic,,,,Sphere,No,Negative,Neuronal,Drug/metabolic modulators,,,,High,,,,,Brain Disease,Bad,Bad,Effects of titanium dioxide nanoparticles on a-synuclein aggregation and the ubiquitin-proteasome system in dopaminergic neurons,10.3109/21691401.2014.980507,10.0,100.0,100.0,500.0,500.0,,,,,,,
Inorganic,,,,Sphere,,,,,,High,,,Small Rodents,Male,Multiple ,Oral,Brain Disease,Bad,Bad,Neurotoxicity of ZnO nanoparticles and associated motor function deficits in mice,10.1007/s13204-019-01093-3,10.0,100.0,,,,,10.0,,1.0,50.0,100.0,500.0
Inorganic,Titanium Dioxide,,TiO2 NPs,,,,,,,,High,,Small Rodents,Male,Multiple ,Intraperitoneal,Brain Injury,Bad,,Subacute toxicity of titanium dioxide (TiO2) nanoparticles in male rats: emotional behavior and pathophysiological examination,10.1007/s11356-014-4002-5,10.0,100.0,,,,,,,50.0,,10.0,100.0
Inorganic,Titanium Dioxide,,TiO2 ,,,,Primary,,High,,,High,,,,,Brain Disease,Bad,Bad,Nanosize titanium dioxide cause neuronal apoptosis: a potential linkage between nanoparticle exposure and neural disorder,10.1179/0161641215Z.000000000587,10.0,100.0,500.0,,,,,,,,,
Carbon,,,,Sphere,,,,,High,,,High,Fish,Male,Multiple ,Other,Brain Disease,Bad,,Zebrafish: A Promising Model for Evaluating the Toxicity of Carbon Dot-Based Nanomaterials,10.1021/acsami.0c17492,,10.0,,,,,0.0,5.0,1.0,50.0,100.0,500.0
Inorganic,Titanium Dioxide,,TiO2 NPs,Sphere,No,Positive,,,,,,Low,Small Rodents,Male,Multiple ,Other,Brain Disease,Good,Bad,Titanium dioxide nanoparticles via oral exposure leads to adverse disturbance of gut microecology and locomotor activity in adult mice,10.1007/s00204-020-02698-2,10.0,100.0,,,,,5.0,10.0,1.0,50.0,10.0,100.0
Inorganic,Titanium Dioxide,,TiO2 NPs,,Yes,Positive,,,High,,,High,Small Rodents,Female,Multiple ,Other,Brain Disease,Bad,,Nanoparticulate titanium dioxide-inhibited dendritic development is involved in apoptosis and autophagy of hippocampal neurons in offspring mice,10.1039/c7tx00153c,,10.0,,,,,0.0,5.0,,,0.1,10.0
Organic,,,,Non-Sphere,,,,,,,High,,Fish,Both,Multiple ,Other,Brain Disease,Bad,Bad,Nanotoxicological and teratogenic effects: A linkage between dendrimer surface charge and zebrafish developmental stages,10.1016/j.taap.2017.10.003,,10.0,,,,,0.0,5.0,,,10.0,100.0
Organic,,,,Sphere,Yes,Negative,,,,,,High,Other Vertebrates,,Multiple ,Other,Brain Disease,Bad,Bad,Neurobehavioral toxicity induced by combined exposure of micro/nanoplastics and triphenyltin in marine medaka (Oryzias melastigma),10.1016/j.envpol.2024.124334,10.0,100.0,,,,,,,,,100.0,500.0
Organic,,,,Sphere,,,,,,,High,,Fish,,,Other,Brain Disease,Bad,Bad,Synergistic neurotoxicity of clothianidin and photoaged microplastics in zebrafish: Implications for neuroendocrine disruption,10.1016/j.envpol.2025.125797,200.0,,,,,,0.0,5.0,,,10.0,100.0
Organic,,,,Sphere,,,,,,,,,Fish,,,Other,Brain Disease,Good,,Synergistic neurotoxicity of polystyrene nanoparticles and MEHP in zebrafish,10.1016/j.envpol.2025.126765,10.0,100.0,,,,,,,,,10.0,100.0
Organic,,,,Sphere,Yes,,Neuronal,,High,,,High,,,,,Brain Disease,Bad,Bad,Are all nanoplastics equally neurotoxic? Influence of surface functionalization and size in human neuroblastoma cells,10.1016/j.envpol.2025.127445,10.0,100.0,100.0,500.0,,,,,,,,
Inorganic,,,,Non-Sphere,Yes,Negative,Neuronal,Drug/metabolic modulators,High,,,High,,,,,Brain Disease,Bad,Bad,Comparative study on effects of two different types of titanium dioxide nanoparticles on human neuronal cells,10.1016/j.fct.2013.04.010,10.0,100.0,100.0,500.0,10.0,100.0,,,,,,
Inorganic,,,,Sphere,,Negative,,,,High,,,Small Rodents,,Single,Intravenous,Brain Disease,Good,,Silver and titanium dioxide nanoparticles alter oxidative/inflammatory response and renin–angiotensin system in brain,10.1016/j.fct.2015.08.005,10.0,100.0,,,,,10.0,,,,0.1,10.0
Inorganic,,,,Sphere,Yes,Negative,,,,,,High,Small Rodents,Male,Multiple ,Intravenous,Brain Disease,Bad,Bad,"Silver nanoparticles induced hippocampal neuronal damage involved in mitophagy, mitochondrial biogenesis and synaptic degeneration",10.1016/j.fct.2022.113227,10.0,100.0,,,,,5.0,10.0,,,10.0,100.0
Inorganic,,,,,,,,,,High,,,Small Rodents,Female,Multiple ,Oral,Brain Disease,Bad,Bad,Prenatal exposure to titanium dioxide nanoparticles induces persistent neurobehavioral impairments in maternal mice that is associated with microbiota–gut–brain axis,10.1016/j.fct.2022.113402,10.0,100.0,,,,,0.0,5.0,1.0,50.0,10.0,100.0
Inorganic,,,,,,Positive,,,,High,,High,Small Rodents,Female,Multiple ,Other,Brain Disease,Bad,Bad,Molecular mechanism of hippocampal apoptosis of mice following exposure to titanium dioxide nanoparticles,10.1016/j.jhazmat.2011.04.027,,10.0,,,,,,,1.0,50.0,10.0,100.0
Inorganic,,,,,Yes,Positive,,,,High,,High,Small Rodents,Female,Multiple ,Intranasal,Brain Disease,Bad,,Neurotoxic characteristics of spatial recognition damage of the hippocampus in mice following subchronic peroral exposure to TiO2 nanoparticles,10.1016/j.jhazmat.2013.10.072,,10.0,,,,,0.0,5.0,1.0,50.0,0.1,10.0
Carbon,,,,Non-Sphere,Yes,Negative,Neuronal,Drug/metabolic modulators,,,,,,,,,Brain Disease,Good,Good,"Graphene oxide disrupted mitochondrial homeostasis through inducing intracellular redox deviation and autophagy-lysosomal network dysfunction in SH-SY5Y cells Feng Xiaolia,b,1, Zhang Yaqingc,1, Luo Ruhuic, Lai Xuanc, Chen Aijiea, Zhang Yanlia, Hu Chenc, Chen Lilid, Shao Longquana,b,* aStomatology Hospital, Southern Medical University, Guangzhou 510515, China bGuangdong Provincial Key Laboratory of Construction and Detection in Tissue Engineering, Guangzhou 510515, China cDepartment of Stomatology, Nanfang Hospital, Southern Medical University, Guangzhou 510515, China dDepartment of Stomatology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430022, China",10.1016/j.jhazmat.2021.126158,200.0,,10.0,100.0,,,,,,,,
Organic,,,,,,,,,,,,High,Other Vertebrates,,,Other,Brain Disease,Bad,Bad,"Chronic exposure to UV-aged microplastics induces neurotoxicity by affecting dopamine, glutamate, and serotonin neurotransmission in Caenorhabditis elegans Haibo Chena,b, Xin Huab, Yue Yangb,c, Chen Wanga, Lide Jina, Chenyin Dongb, Zhaofeng Changb, Ping Dingb, Mingdeng Xiangb, Hui Lia,*, Yunjiang Yub,* aInstitute for Environmental pollution and health, School of Environmental and Chemical Engineering, Shanghai University, Shanghai 200444, China bState Environmental Protection Key Laboratory of Environmental Pollution Health Risk Assessment, South China Institute of Environmental Sciences, Ministry of Ecology and Environment, Guangzhou 510655, China cSchool of Public Health, China Medical University, Liaoning 110122, China",10.1016/j.jhazmat.2021.126482,200.0,,,,,,0.0,5.0,,,10.0,100.0
Organic,,,,Sphere,Yes,,,,,,,,Small Rodents,Both,Multiple ,Oral,Brain Injury,,,"Maternal exposure to polystyrene nanoplastics causes brain abnormalities in progeny Bohyeon Jeonga,b, Jeong Yeob Baeka, Jahong Kooa,b, Subin Parka, Young-Kyoung Ryuc, Kyoung-Shim Kimc, Seungjae Zhangd, ChiHye Chungd, Rumeysa Dogane, Hyung-Seok Choie, Dahun Ume, Tae-Kyung Kime, Wang Sik Leef, Jinyoung Jeongf,g, Won-Ho Shinh, Jae-Ran Leea, Nam-Soon Kima, Da Yong Leea,b,* aRare Disease Research Center, Korea Research Institute of Bioscience and Biotechnology (KRIBB), 125 Gwahak-ro, Yuseong-gu, Daejeon 34141, South Korea bDepartment of Functional Genomics, KRIBB School of Bioscience, University of Science and Technology, Daejeon, South Korea cLaboratory animal Resource Center, Korea Research Institute of Bioscience and Biotechnology (KRIBB), 125 Gwahak-ro, Yuseong-gu, Daejeon 34141, South Korea dDepartment of Biological Sciences (Neurophysiology Laboratory, C-Lab), Konkuk University, 120 Neungdong-ro, Gwangjin-gu, Seoul 05029, South Korea eDepartment of Life Sciences, Pohang University of Science and Technology (POSTECH), Pohang, South Korea fEnvironmental Disease Research Center, Korea Research Institute of Bioscience and Biotechnology (KRIBB), 125 Gwahak-ro, Yuseong-gu, Daejeon 34141, South Korea gDepartment of Nanobiotechnology, KRIBB School of Biotechnology, University of Science and Technology, Daejeon, South Korea hDepartment of Predictive Toxicology, Korea Institute of Toxicology, Daejeon 34114, South Korea",10.1016/j.jhazmat.2021.127815,200.0,,,,,,10.0,,,,0.1,10.0
Organic,,,,,,Negative,,,,High,,High,Small Rodents,Male,Multiple ,Oral,Brain Disease,Bad,,Exposure to polystyrene microplastics impairs hippocampus-dependent learning and memory in mice,10.1016/j.jhazmat.2022.128431,200.0,,,,,,5.0,10.0,,,0.1,10.0
Organic,,,,,,Negative,Glial,,,,,High,,,,,,Bad,,Exposure to polystyrene microplastics impairs hippocampus-dependent learning and memory in mice,10.1016/j.jhazmat.2022.128431,200.0,,,,,,,,,,,
Organic,,,,,,,,,,,,High,Other Vertebrates,,Multiple ,Other,Brain Disease,Bad,Bad,"Carboxyl-modified polystyrene microplastics induces neurotoxicity by affecting dopamine, glutamate, serotonin, and GABA neurotransmission in Caenorhabditis elegans",10.1016/j.jhazmat.2022.130543,,10.0,,,,,,,,,10.0,100.0
Organic,,,,Non-Sphere,,Negative,,,,,,High,Fish,,,Other,Brain Disease,,Good,Polylactic acid microplastics before and after aging induced neurotoxicity in zebrafish by disrupting the microbiota-gut-brain axis,10.1016/j.jhazmat.2025.137306,200.0,,,,,,0.0,5.0,,,10.0,100.0
Inorganic,,,,,Yes,Negative,,,,,,,Small Rodents,Male,Multiple ,Oral,Brain Injury,Bad,Bad,"In deep evaluation of the neurotoxicity of orally administered TiO 2 nanoparticles Intissar Grissaa, Jaber ElGhoulb,c, Rhizlaine Mrimid, Lassaad El Mirb,c, Hassen Ben Cheikha, Patricia Horcajadad,e aLaboratory of Histology and Cytogenetics (UR12ES10), Faculty of Medicine, 5019 Monastir, Tunisia bLaboratory of Physics of Materials and Nanomaterials Applied at Environment (LaPhyMNE), Gabes University, Faculty of Sciences in Gabes, 6072, Tunisia cImam Mohammad Ibn Saud Islamic University (IMISU), College of Sciences, Department of Physics, Riyadh 11623, Saudi Arabia",10.1016/j.brainresbull.2019.10.005,10.0,100.0,,,,,5.0,10.0,,,100.0,500.0
Inorganic,,,,,Yes,Negative,,,,,,,Small Rodents,Male,Single,Intraperitoneal,Brain Disease,Bad,Bad,Expression of genes related to oxidative stress in the mouse brain after exposure to silver-25 nanoparticles,10.1016/j.toxlet.2009.01.020,10.0,100.0,,,,,0.0,5.0,1.0,50.0,500.0,
Inorganic,,,,Non-Sphere,,Negative,,,,,,,Small Rodents,Female,Multiple ,Intranasal,Brain Injury,Good,,Rutile TiO2 particles exert size and surface coating dependent retention and lesions on the murine brain,10.1016/j.toxlet.2011.08.001,200.0,,,,,,,,1.0,50.0,100.0,500.0
Organic,,,,Sphere,Yes,Negative,,,,Low,,,Small Rodents,Male,Multiple ,Intraperitoneal,Brain Disease,,Good,Blood-Brain Barrier-Penetrating Nanocarriers Enable Microglial-Specific Drug Delivery in Hypothalamic Neuroinflammation,10.1002/adhm.202500521,10.0,100.0,,,0.0,10.0,5.0,10.0,1.0,50.0,10.0,100.0
Organic,,,,Sphere,Yes,Negative,Primary,Inflammatory stimuli,,Low,,,,,,,Brain Disease,,Good,Blood-Brain Barrier-Penetrating Nanocarriers Enable Microglial-Specific Drug Delivery in Hypothalamic Neuroinflammation,10.1002/adhm.202500521,10.0,100.0,10.0,100.0,0.0,10.0,,,,,,
Hybrid,,,,,,Negative,,,High,,,,Small Rodents,Male,Single,Intravenous,Brain Disease,Good,Good,Intrinsically Bioactive Manganese–Eumelanin Nanocomposites Mediated Antioxidation and Anti-Neuroinflammation for Targeted Theranostics of Traumatic Brain Injury,10.1002/adhm.202200517,100.0,200.0,,,,,5.0,10.0,,,100.0,500.0
Hybrid,,,,,,Negative,Primary,Oxidative stress,,,,,,,,,Brain Disease,,Good,Intrinsically Bioactive Manganese–Eumelanin Nanocomposites Mediated Antioxidation and Anti-Neuroinflammation for Targeted Theranostics of Traumatic Brain Injury,10.1002/adhm.202200517,100.0,200.0,10.0,100.0,0.0,10.0,,,,,,
Organic,,,,Sphere,Yes,,,,,Low,High,,Small Rodents,Male,Single,Intravenous,Brain Injury,Good,Good,ROS-Response Nanoparticles for Edaravone Delivery: Pathological-Activated Neuroprotection Against Ischemic-Reperfusion Injury in Ischemic Stroke,10.1002/adhm.202501962,10.0,100.0,,,,,5.0,10.0,50.0,,0.1,10.0
Organic,,,,Sphere,Yes,,Neuronal,Oxidative stress,,,,Low,,,,,Brain Injury,,Good,ROS-Response Nanoparticles for Edaravone Delivery: Pathological-Activated Neuroprotection Against Ischemic-Reperfusion Injury in Ischemic Stroke,10.1002/adhm.202501962,10.0,100.0,500.0,,10.0,100.0,,,,,,
Organic,,,,Sphere,,Negative,,,,,,Low,Small Rodents,Male,Multiple ,Intraperitoneal,Brain Disease,Good,Good,Platelet-Membrane-Coated Polydopamine Nanoparticles for Neuroprotection by Reducing Oxidative Stress and Repairing Damaged Vessels in Intracerebral Hemorrhage,10.1002/adhm.202300797,10.0,100.0,,,,,5.0,10.0,,,100.0,500.0
Organic,,,,Sphere,,Negative,Neuronal,Oxidative stress,High,,,Low,,,,,Brain Disease,Good,Good,Platelet-Membrane-Coated Polydopamine Nanoparticles for Neuroprotection by Reducing Oxidative Stress and Repairing Damaged Vessels in Intracerebral Hemorrhage,10.1002/adhm.202300797,10.0,100.0,10.0,100.0,,,,,,,,
Organic,,,,,,Negative,,,,,,,Small Rodents,Female,Multiple ,,Spinal Injury,Good,Good,Poly (Betulinic Acid) Nanoparticles Loaded with bFGF Improve Functional Recovery After Spinal Cord Injury,10.1002/adhm.202303462,200.0,,,,,,5.0,10.0,1.0,50.0,0.1,10.0
Organic,,,,,,Negative,Neuronal,Oxidative stress,High,,,,,,,,Spinal Injury,Good,,Poly (Betulinic Acid) Nanoparticles Loaded with bFGF Improve Functional Recovery After Spinal Cord Injury,10.1002/adhm.202303462,200.0,,10.0,100.0,100.0,500.0,,,,,,
Organic,,,,Sphere,,,,,,Low,High,Low,Small Rodents,Male,,Intraperitoneal,Spinal Injury,Good,Good,GDNF-Loaded Polydopamine Nanoparticles-Based Anisotropic Scaffolds Promote Spinal Cord Repair by Modulating Inhibitory Microenvironment,10.1002/adhm.202202377,200.0,,,,,,5.0,10.0,1.0,50.0,,
Organic,,,,Sphere,,,Glial,Inflammatory stimuli,,Low,High,Low,,,,,Spinal Injury,Good,Good,GDNF-Loaded Polydopamine Nanoparticles-Based Anisotropic Scaffolds Promote Spinal Cord Repair by Modulating Inhibitory Microenvironment,10.1002/adhm.202202377,200.0,,,,10.0,100.0,,,,,,
Organic,,,,Sphere,,Negative,Glial,Inflammatory stimuli,,Low,,,Small Rodents,,,,Brain Disease,Good,Good,Intranasal Delivery of circATF7IP siRNA via Lipid Nanoparticles Alleviates LPS-induced Depressive-Like Behaviors,10.1002/adhm.202402219,100.0,200.0,10.0,100.0,10.0,100.0,,,,,0.1,10.0
Organic,,,,Sphere,,Negative,,,,Low,,,,,,Intraperitoneal,Brain Disease,Good,Good,Intranasal Delivery of circATF7IP siRNA via Lipid Nanoparticles Alleviates LPS-induced Depressive-Like Behaviors,10.1002/adhm.202402219,100.0,200.0,,,,,,,,,0.1,10.0
Organic,,,,,,Negative,,,High,Low,,Low,Small Rodents,Male,Single,Intraperitoneal,Brain Disease,Good,Good,Lycium Barbarum Polysaccharide-Derived Nanoparticles Protect Visual Function by Inhibiting RGC Ferroptosis and Microglial Activation in Retinal Ischemia‒Reperfusion Mice,10.1002/adhm.202304285,200.0,,,,,,5.0,10.0,,,0.1,10.0
Organic,,,,,,Negative,Neuronal,Oxidative stress,,Low,High,Low,,,,,Brain Disease,Good,Good,Lycium Barbarum Polysaccharide-Derived Nanoparticles Protect Visual Function by Inhibiting RGC Ferroptosis and Microglial Activation in Retinal Ischemia‒Reperfusion Mice,10.1002/adhm.202304285,200.0,,10.0,100.0,0.0,10.0,,,,,,
Hybrid,,,,Sphere,Yes,Negative,,,,,,Low,Small Rodents,Male,Single,Intraperitoneal,Brain Disease,Good,,Protective and Damaging Mechanisms of Neuromelanin-Like Nanoparticles and Iron in Parkinson’s Disease,10.1002/adhm.202402718,10.0,100.0,,,,,10.0,,1.0,50.0,,
Hybrid,,,,Sphere,Yes,Negative,Neuronal,Parkinsonism stimuli,,,,Low,,,,,Brain Disease,Good,Good,Protective and Damaging Mechanisms of Neuromelanin-Like Nanoparticles and Iron in Parkinson’s Disease,10.1002/adhm.202402718,10.0,100.0,100.0,500.0,500.0,,,,,,,
Inorganic,Selenium,Wogonoside,CSPW NPs,,,Negative,,,,Low,,,Small Rodents,Male,Multiple ,Intravenous,Brain Disease,Good,Good,Ultra small Nanoparticles Mitigate Tau Ultrasmall Nanoparticles Mitigate Tau Hyperphosphorylation to Restore Synaptic Integrity and Boost Cognitive Function in Alzheimer’s Disease,10.1002/adhm.202500941,,10.0,,,,,10.0,,1.0,50.0,0.1,10.0
Inorganic,Selenium,Wogonoside,CSPW NPs,,,Negative,Neuronal,,,Low,,,,,,,Brain Disease,Good,Good,Ultra small Nanoparticles Mitigate Tau Ultrasmall Nanoparticles Mitigate Tau Hyperphosphorylation to Restore Synaptic Integrity and Boost Cognitive Function in Alzheimer’s Disease,10.1002/adhm.202500941,,10.0,,,,,,,,,,
Hybrid,,,,Sphere,No,Negative,,,,,,Low,Small Rodents,Male,Multiple ,Intraperitoneal,Brain Disease,Good,Good,NIR-Assisted MgO-Based Polydopamine Nanoparticles for Targeted Treatment of Parkinson’s Disease through the Blood–Brain Barrier,10.1002/adhm.202201655,10.0,100.0,,,,,5.0,10.0,1.0,50.0,0.1,10.0
Hybrid,,,,Sphere,No,Negative,Neuronal,Parkinsonism stimuli,High,,,Low,,,,,Brain Disease,Good,Good,NIR-Assisted MgO-Based Polydopamine Nanoparticles for Targeted Treatment of Parkinson’s Disease through the Blood–Brain Barrier,10.1002/adhm.202201655,10.0,100.0,100.0,500.0,10.0,100.0,,,,,,
Organic,,,,Sphere,No,Negative,,Neurodegenrative peptide,High,High,High,Low,Small Rodents,,Multiple ,Intravenous,Brain Disease,Good,Good,Combining Multifunctional Delivery System with Blood–Brain Barrier Reversible Opening Strategy for the Enhanced Treatment of Alzheimer’s Disease,10.1002/adhm.202302939,10.0,100.0,,,,,0.0,5.0,,,,
Organic,,,,,,,,,,,,High,Small Rodents,,,Intravenous,Brain Disease,Bad,,A Novel Targeted Nanoparticle for Traumatic Brain Injury Treatment: Combined Effect of ROS Depletion and Calcium Overload Inhibition,10.1002/adhm.202102256,,,,,,,,,1.0,50.0,,
Inorganic,Magnesium Silicide,Hydrogen,MSNs,Non-Sphere,,,,,,,,Low,Small Rodents,,Multiple ,Other,Brain Disease,Good,Good,Hydrogen Attenuates Cognitive Impairment in Rat Models of Vascular Dementia by Inhibiting Oxidative Stress and NLRP3 Inflammasome Activation,10.1002/adhm.202400400,200.0,,,,,,10.0,,50.0,,0.1,10.0
